Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,LazyFileOutputStream,17,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,bootstrap,4,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,4,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,4,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,3,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,close,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,licenseType,9,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,LicenseInfo,5,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,isSpdxLicense,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,isSourceRedistributionRequired,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,LicenseMatcher,6,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,matches,9,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,LicenseInfo,5,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,isSpdxLicense,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,isSourceRedistributionRequired,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,LicenseMatcher,6,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,matches,9,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,LicenseHeadersTask,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getJavaFiles,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getSourceFolders,0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getReportFile,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,setReportFile,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getApprovedLicenses,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,setApprovedLicenses,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getExcludes,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getAdditionalLicenses,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,setExcludes,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,additionalLicense,6,2,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,runRat,31,3,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,subStringMatcher,9,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,generateReport,10,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,toXmlReportFile,14,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,unapprovedFiles,9,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,elementList,7,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,LoggedExec,22,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,execute,12,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,setSpoolOutput,32,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,exec,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,javaexec,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,genericExec,32,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,delete,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,UpdateShasTask,4,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,updateShas,17,4,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,createSha,5,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,getParentTask,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,setParentTask,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getBooleanProperty,15,4,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getResourceContents,15,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,capitalize,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getBuildSrcCodeSource,8,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaMainSourceResources,4,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestSourceResources,4,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestAndMainSourceResources,14,4,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestSourceSet,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaMainSourceSet,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,urlFromOrigin,15,4,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,toStringable,8,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,toString,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,init,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getRuntimeJavaHome,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getIsRuntimeJavaHomeSet,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getJavaVersions,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getMinimumCompilerVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getMinimumRuntimeVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getRuntimeJavaVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,isInFipsJvm,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getGitRevision,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,getTestSeed,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,value,7,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,propertyName,4,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,MutableBuildParams,2,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,reset,12,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setRuntimeJavaHome,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setIsRuntimeJavaHomeSet,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setJavaVersions,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setMinimumCompilerVersion,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setMinimumRuntimeVersion,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setRuntimeJavaVersion,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setInFipsJvm,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setGitRevision,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,setTestSeed,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,MutableBuildParams,2,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,reset,12,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setRuntimeJavaHome,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setIsRuntimeJavaHomeSet,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setJavaVersions,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setMinimumCompilerVersion,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setMinimumRuntimeVersion,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setRuntimeJavaVersion,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setInFipsJvm,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setGitRevision,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,setTestSeed,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,GlobalBuildInfoPlugin,5,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,apply,29,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,formatJavaVendorDetails,4,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,logGlobalBuildInfo,27,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,determineJavaVersion,8,2,3
